Changed database context to 'WideWorldImporters'.
schema_name,table_name,row_count
-----------,----------,---------
Warehouse,ColdRoomTemperatures_Archive,3810228
Warehouse,StockItemTransactions,237964
Sales,OrderLines,232673
Sales,InvoiceLines,229511
Sales,CustomerTransactions,97677
Sales,Orders,73996
Sales,Invoices,70896
Warehouse,VehicleTemperatures,68996
Application,Cities,37940
Purchasing,PurchaseOrderLines,8418
Purchasing,SupplierTransactions,2452
Purchasing,PurchaseOrders,2086
Application,People,1113
Application,People_Archive,966
Sales,Customers,665
Warehouse,StockItems_Archive,444
Warehouse,StockItemStockGroups,442
Warehouse,StockItemHoldings,227
Warehouse,StockItems,227
Application,Countries,190
Application,StateProvinces_Archive,104
Application,StateProvinces,53
Sales,Customers_Archive,51
Application,Countries_Archive,37
Warehouse,Colors,36
Application,Cities_Archive,28
Warehouse,PackageTypes,14
Application,TransactionTypes,13
Purchasing,Suppliers,13
Purchasing,Suppliers_Archive,13
Application,DeliveryMethods,10
Warehouse,StockGroups,10
Purchasing,SupplierCategories,9
Sales,CustomerCategories,8
Application,PaymentMethods,4
Warehouse,ColdRoomTemperatures,4
Sales,BuyingGroups,2
Sales,SpecialDeals,2
Application,DeliveryMethods_Archive,1
Application,PaymentMethods_Archive,1
Application,SystemParameters,1
Application,TransactionTypes_Archive,1
Purchasing,SupplierCategories_Archive,1
Sales,CustomerCategories_Archive,1
Warehouse,Colors_Archive,1
Warehouse,StockGroups_Archive,1
Sales,BuyingGroups_Archive,0
Warehouse,PackageTypes_Archive,0
