Changed database context to 'WideWorldImporters'.
schema_name,table_name,primary_key_name,column_name,key_ordinal
-----------,----------,----------------,-----------,-----------
Application,Cities,PK_Application_Cities,CityID,1
Application,Countries,PK_Application_Countries,CountryID,1
Application,DeliveryMethods,PK_Application_DeliveryMethods,DeliveryMethodID,1
Application,PaymentMethods,PK_Application_PaymentMethods,PaymentMethodID,1
Application,People,PK_Application_People,PersonID,1
Application,StateProvinces,PK_Application_StateProvinces,StateProvinceID,1
Application,SystemParameters,PK_Application_SystemParameters,SystemParameterID,1
Application,TransactionTypes,PK_Application_TransactionTypes,TransactionTypeID,1
Purchasing,PurchaseOrderLines,PK_Purchasing_PurchaseOrderLines,PurchaseOrderLineID,1
Purchasing,PurchaseOrders,PK_Purchasing_PurchaseOrders,PurchaseOrderID,1
Purchasing,SupplierCategories,PK_Purchasing_SupplierCategories,SupplierCategoryID,1
Purchasing,Suppliers,PK_Purchasing_Suppliers,SupplierID,1
Purchasing,SupplierTransactions,PK_Purchasing_SupplierTransactions,SupplierTransactionID,1
Sales,BuyingGroups,PK_Sales_BuyingGroups,BuyingGroupID,1
Sales,CustomerCategories,PK_Sales_CustomerCategories,CustomerCategoryID,1
Sales,Customers,PK_Sales_Customers,CustomerID,1
Sales,CustomerTransactions,PK_Sales_CustomerTransactions,CustomerTransactionID,1
Sales,InvoiceLines,PK_Sales_InvoiceLines,InvoiceLineID,1
Sales,Invoices,PK_Sales_Invoices,InvoiceID,1
Sales,OrderLines,PK_Sales_OrderLines,OrderLineID,1
Sales,Orders,PK_Sales_Orders,OrderID,1
Sales,SpecialDeals,PK_Sales_SpecialDeals,SpecialDealID,1
Warehouse,ColdRoomTemperatures,PK_Warehouse_ColdRoomTemperatures,ColdRoomTemperatureID,1
Warehouse,Colors,PK_Warehouse_Colors,ColorID,1
Warehouse,PackageTypes,PK_Warehouse_PackageTypes,PackageTypeID,1
Warehouse,StockGroups,PK_Warehouse_StockGroups,StockGroupID,1
Warehouse,StockItemHoldings,PK_Warehouse_StockItemHoldings,StockItemID,1
Warehouse,StockItems,PK_Warehouse_StockItems,StockItemID,1
Warehouse,StockItemStockGroups,PK_Warehouse_StockItemStockGroups,StockItemStockGroupID,1
Warehouse,StockItemTransactions,PK_Warehouse_StockItemTransactions,StockItemTransactionID,1
Warehouse,VehicleTemperatures,PK_Warehouse_VehicleTemperatures,VehicleTemperatureID,1
