Changed database context to 'WideWorldImporters'.
foreign_key_name,parent_schema,parent_table,parent_column,referenced_schema,referenced_table,referenced_column,column_ordinal
----------------,-------------,------------,-------------,-----------------,----------------,-----------------,--------------
FK_Application_Cities_Application_People,Application,Cities,LastEditedBy,Application,People,PersonID,1
FK_Application_Cities_StateProvinceID_Application_StateProvinces,Application,Cities,StateProvinceID,Application,StateProvinces,StateProvinceID,1
FK_Application_Countries_Application_People,Application,Countries,LastEditedBy,Application,People,PersonID,1
FK_Application_DeliveryMethods_Application_People,Application,DeliveryMethods,LastEditedBy,Application,People,PersonID,1
FK_Application_PaymentMethods_Application_People,Application,PaymentMethods,LastEditedBy,Application,People,PersonID,1
FK_Application_People_Application_People,Application,People,LastEditedBy,Application,People,PersonID,1
FK_Application_StateProvinces_Application_People,Application,StateProvinces,LastEditedBy,Application,People,PersonID,1
FK_Application_StateProvinces_CountryID_Application_Countries,Application,StateProvinces,CountryID,Application,Countries,CountryID,1
FK_Application_SystemParameters_Application_People,Application,SystemParameters,LastEditedBy,Application,People,PersonID,1
FK_Application_SystemParameters_DeliveryCityID_Application_Cities,Application,SystemParameters,DeliveryCityID,Application,Cities,CityID,1
FK_Application_SystemParameters_PostalCityID_Application_Cities,Application,SystemParameters,PostalCityID,Application,Cities,CityID,1
FK_Application_TransactionTypes_Application_People,Application,TransactionTypes,LastEditedBy,Application,People,PersonID,1
FK_Purchasing_PurchaseOrderLines_Application_People,Purchasing,PurchaseOrderLines,LastEditedBy,Application,People,PersonID,1
FK_Purchasing_PurchaseOrderLines_PackageTypeID_Warehouse_PackageTypes,Purchasing,PurchaseOrderLines,PackageTypeID,Warehouse,PackageTypes,PackageTypeID,1
FK_Purchasing_PurchaseOrderLines_PurchaseOrderID_Purchasing_PurchaseOrders,Purchasing,PurchaseOrderLines,PurchaseOrderID,Purchasing,PurchaseOrders,PurchaseOrderID,1
FK_Purchasing_PurchaseOrderLines_StockItemID_Warehouse_StockItems,Purchasing,PurchaseOrderLines,StockItemID,Warehouse,StockItems,StockItemID,1
FK_Purchasing_PurchaseOrders_Application_People,Purchasing,PurchaseOrders,LastEditedBy,Application,People,PersonID,1
FK_Purchasing_PurchaseOrders_ContactPersonID_Application_People,Purchasing,PurchaseOrders,ContactPersonID,Application,People,PersonID,1
FK_Purchasing_PurchaseOrders_DeliveryMethodID_Application_DeliveryMethods,Purchasing,PurchaseOrders,DeliveryMethodID,Application,DeliveryMethods,DeliveryMethodID,1
FK_Purchasing_PurchaseOrders_SupplierID_Purchasing_Suppliers,Purchasing,PurchaseOrders,SupplierID,Purchasing,Suppliers,SupplierID,1
FK_Purchasing_SupplierCategories_Application_People,Purchasing,SupplierCategories,LastEditedBy,Application,People,PersonID,1
FK_Purchasing_Suppliers_AlternateContactPersonID_Application_People,Purchasing,Suppliers,AlternateContactPersonID,Application,People,PersonID,1
FK_Purchasing_Suppliers_Application_People,Purchasing,Suppliers,LastEditedBy,Application,People,PersonID,1
FK_Purchasing_Suppliers_DeliveryCityID_Application_Cities,Purchasing,Suppliers,DeliveryCityID,Application,Cities,CityID,1
FK_Purchasing_Suppliers_DeliveryMethodID_Application_DeliveryMethods,Purchasing,Suppliers,DeliveryMethodID,Application,DeliveryMethods,DeliveryMethodID,1
FK_Purchasing_Suppliers_PostalCityID_Application_Cities,Purchasing,Suppliers,PostalCityID,Application,Cities,CityID,1
