Changed database context to 'WideWorldImporters'.
schema_name,table_name,primary_key_columns,identity_columns,has_last_edited_when,has_business_time_candidate,has_valid_from,has_valid_to,temporal_type_desc
-----------,----------,-------------------,----------------,--------------------,---------------------------,--------------,------------,------------------
Application,Cities,CityID,,0,0,1,1,SYSTEM_VERSIONED_TEMPORAL_TABLE
Application,Countries,CountryID,,0,0,1,1,SYSTEM_VERSIONED_TEMPORAL_TABLE
Application,DeliveryMethods,DeliveryMethodID,,0,0,1,1,SYSTEM_VERSIONED_TEMPORAL_TABLE
Application,PaymentMethods,PaymentMethodID,,0,0,1,1,SYSTEM_VERSIONED_TEMPORAL_TABLE
Application,People,PersonID,,0,0,1,1,SYSTEM_VERSIONED_TEMPORAL_TABLE
Application,StateProvinces,StateProvinceID,,0,0,1,1,SYSTEM_VERSIONED_TEMPORAL_TABLE
Application,SystemParameters,SystemParameterID,,1,1,0,0,NON_TEMPORAL_TABLE
Application,TransactionTypes,TransactionTypeID,,0,0,1,1,SYSTEM_VERSIONED_TEMPORAL_TABLE
Purchasing,PurchaseOrderLines,PurchaseOrderLineID,,1,1,0,0,NON_TEMPORAL_TABLE
Purchasing,PurchaseOrders,PurchaseOrderID,,1,1,0,0,NON_TEMPORAL_TABLE
Purchasing,SupplierCategories,SupplierCategoryID,,0,0,1,1,SYSTEM_VERSIONED_TEMPORAL_TABLE
Purchasing,Suppliers,SupplierID,,0,0,1,1,SYSTEM_VERSIONED_TEMPORAL_TABLE
Purchasing,SupplierTransactions,SupplierTransactionID,,1,1,0,0,NON_TEMPORAL_TABLE
Sales,BuyingGroups,BuyingGroupID,,0,0,1,1,SYSTEM_VERSIONED_TEMPORAL_TABLE
Sales,CustomerCategories,CustomerCategoryID,,0,0,1,1,SYSTEM_VERSIONED_TEMPORAL_TABLE
Sales,Customers,CustomerID,,0,1,1,1,SYSTEM_VERSIONED_TEMPORAL_TABLE
Sales,CustomerTransactions,CustomerTransactionID,,1,1,0,0,NON_TEMPORAL_TABLE
Sales,InvoiceLines,InvoiceLineID,,1,1,0,0,NON_TEMPORAL_TABLE
Sales,Invoices,InvoiceID,,1,1,0,0,NON_TEMPORAL_TABLE
Sales,OrderLines,OrderLineID,,1,1,0,0,NON_TEMPORAL_TABLE
Sales,Orders,OrderID,,1,1,0,0,NON_TEMPORAL_TABLE
Sales,SpecialDeals,SpecialDealID,,1,1,0,0,NON_TEMPORAL_TABLE
Warehouse,ColdRoomTemperatures,ColdRoomTemperatureID,ColdRoomTemperatureID,0,1,1,1,SYSTEM_VERSIONED_TEMPORAL_TABLE
Warehouse,Colors,ColorID,,0,0,1,1,SYSTEM_VERSIONED_TEMPORAL_TABLE
Warehouse,PackageTypes,PackageTypeID,,0,0,1,1,SYSTEM_VERSIONED_TEMPORAL_TABLE
Warehouse,StockGroups,StockGroupID,,0,0,1,1,SYSTEM_VERSIONED_TEMPORAL_TABLE
Warehouse,StockItemHoldings,StockItemID,,1,1,0,0,NON_TEMPORAL_TABLE
Warehouse,StockItems,StockItemID,,0,0,1,1,SYSTEM_VERSIONED_TEMPORAL_TABLE
Warehouse,StockItemStockGroups,StockItemStockGroupID,,1,1,0,0,NON_TEMPORAL_TABLE
Warehouse,StockItemTransactions,StockItemTransactionID,,1,1,0,0,NON_TEMPORAL_TABLE
Warehouse,VehicleTemperatures,VehicleTemperatureID,VehicleTemperatureID,0,1,0,0,NON_TEMPORAL_TABLE
